"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\faculta\AN3Sem2\Licenta\proiectFinal\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 9, 162
"d:\faculta\AN3Sem2\Licenta\proiectFinal\app.json", "JSON", 38, 0, 0, 0, 0, 0, 2, 40
"d:\faculta\AN3Sem2\Licenta\proiectFinal\babel.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 11
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\AddCommentBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 2, 41
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\AddCommentsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 5, 69
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\CustomOutlineBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 6, 45
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\DateTimePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 8, 46
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\DropdownComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 6, 120
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\EventTypeBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 1, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\GooglePlacesInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 4, 52
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\IconBttn.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 2, 23
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\ImagePickerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 2, 123
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\LogInBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 2, 33
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\LogoutBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\authComponents\AuthForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 5, 119
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\authComponents\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 4, 97
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\AddEventForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 274, 0, 27, 301
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\CommentItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 3, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\CommentsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 7, 68
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\EventItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 8, 78
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\http.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 2, 6
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 1, 74
