"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"d:\faculta\AN3Sem2\Licenta\proiectFinal\App.tsx", "TypeScript JSX", 0, -134, 0, 0, -4, -138
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\AddCommentBtn.tsx", "TypeScript JSX", 0, 1, 0, 0, -1, 0
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\CustomOutlineBtn.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 6
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\GooglePlacesInput.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 9
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\adapter.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\AddEventForm.tsx", "TypeScript JSX", 0, -14, 0, 0, 0, -14
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\http.tsx", "TypeScript JSX", 0, 9, 0, 0, 1, 10
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\requestComponents\RequestItem.tsx", "TypeScript JSX", 0, 10, 0, 0, 1, 11
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\AddReclamatieModal.tsx", "TypeScript JSX", 0, 258, 0, 3, 11, 272
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\DetailPlangeriModal.tsx", "TypeScript JSX", 0, 5, 0, 0, 2, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\MarkerInfo.tsx", "TypeScript JSX", 0, 70, 0, 0, 5, 75
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\ReclamatiiItem.tsx", "TypeScript JSX", 0, 116, 0, 0, 4, 120
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\TownHallPage.tsx", "TypeScript JSX", 0, 68, 0, 0, 4, 72
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\UserCreatorPage.tsx", "TypeScript JSX", 0, 151, 0, 3, 11, 165
"d:\faculta\AN3Sem2\Licenta\proiectFinal\package-lock.json", "JSON", 0, 0, 1093, 0, 0, 1093
"d:\faculta\AN3Sem2\Licenta\proiectFinal\package.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AcceptRequsetScreen.tsx", "TypeScript JSX", 0, 9, 0, 0, 3, 12
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\DetailScreen.tsx", "TypeScript JSX", 0, -4, 0, 1, 1, -2
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\EventScreen.tsx", "TypeScript JSX", 0, 2, 0, 0, 1, 3
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ProfileScreen.tsx", "TypeScript JSX", 0, -2, 0, 0, 3, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ReclamatiiScreen.tsx", "TypeScript JSX", 0, -39, 0, 0, -7, -46
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\AppContext.tsx", "TypeScript JSX", 0, 61, 0, 0, 6, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Authenticated.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\BtnTapsNavigation.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Non-authenticated.tsx", "TypeScript JSX", 0, 21, 0, 0, 3, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\constants.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 5
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\database.ts", "TypeScript", 33, 0, 0, 0, 2, 35
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\methods.ts", "TypeScript", 30, 0, 0, 0, 4, 34
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\model\migrations.ts", "TypeScript", 5, 0, 0, 1, 1, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\model\schema.ts", "TypeScript", 6, 0, 0, 1, 1, 8
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\permissions.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"Total", "-", 89, 675, 1094, 9, 55, 1922
