"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "JavaScript", "comment", "blank", "total"
"d:\faculta\AN3Sem2\Licenta\proiectFinal\App.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 5, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\app.json", "JSON", 0, 0, 0, 38, 0, 0, 2, 40
"d:\faculta\AN3Sem2\Licenta\proiectFinal\babel.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 2, 11
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\AddCommentBtn.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 1, 41
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\AddCommentsModal.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 5, 69
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\CustomOutlineBtn.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 6, 51
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\DateTimePicker.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 8, 46
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\DropdownComponent.tsx", "TypeScript JSX", 0, 0, 114, 0, 0, 0, 6, 120
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\EventTypeBtn.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 1, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\GooglePlacesInput.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 4, 61
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\IconBttn.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 2, 23
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\ImagePickerModal.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 2, 123
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\LogInBtn.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 2, 33
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\UI\LogoutBtn.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\adapter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\authComponents\AuthForm.tsx", "TypeScript JSX", 0, 0, 114, 0, 0, 0, 5, 119
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\authComponents\LoginForm.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 4, 97
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\AddEventForm.tsx", "TypeScript JSX", 0, 0, 260, 0, 0, 0, 27, 287
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\CommentItem.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 3, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\CommentsContainer.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 7, 68
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\eventComponents\EventItem.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 8, 78
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\http.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 3, 16
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 0, 1, 74
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\requestComponents\AplicaContCreatorBtn.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 2, 9
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\requestComponents\RequestBtn.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 2, 40
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\profileComponents\requestComponents\RequestItem.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 2, 102
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\AddReclamatieModal.tsx", "TypeScript JSX", 0, 0, 258, 0, 0, 3, 11, 272
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\DetailPlangeriModal.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 2, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\MarkerInfo.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 5, 75
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\ReclamatiiItem.tsx", "TypeScript JSX", 0, 0, 116, 0, 0, 0, 4, 120
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\TownHallPage.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 4, 72
"d:\faculta\AN3Sem2\Licenta\proiectFinal\components\reclamatiiComponents\UserCreatorPage.tsx", "TypeScript JSX", 0, 0, 151, 0, 0, 3, 11, 165
"d:\faculta\AN3Sem2\Licenta\proiectFinal\package-lock.json", "JSON", 0, 0, 0, 17081, 0, 0, 1, 17082
"d:\faculta\AN3Sem2\Licenta\proiectFinal\package.json", "JSON", 0, 0, 0, 49, 0, 0, 1, 50
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AcceptRequsetScreen.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 0, 5, 97
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AddEventSreen.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 2, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AuthScreen.tsx", "TypeScript JSX", 0, 0, 230, 0, 0, 0, 25, 255
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\DetailScreen.tsx", "TypeScript JSX", 0, 0, 246, 0, 0, 1, 13, 260
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\EventScreen.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 0, 13, 153
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ProfileScreen.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 0, 14, 160
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ReclamatiiScreen.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 2, 15
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\AppContext.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 6, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Authenticated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\BtnTapsNavigation.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 0, 67
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Non-authenticated.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 3, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\auth-context.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 11, 54
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\redux\rerenderScreen.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 1, 3
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\redux\store.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 2, 6
"d:\faculta\AN3Sem2\Licenta\proiectFinal\tsconfig.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 1, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\Colors.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\constants.tsx", "TypeScript JSX", 0, 0, 194, 0, 0, 1, 6, 201
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\database.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 2, 35
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\http.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 5
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\methods.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 7, 65
